No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
127,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12,-,-,-,-,-,-,-,-,-,-,-0.50%,-2.77%,-5.24%,-4.25%,-12.47%,-10.97%,-,0.10,0.80%,0.75%,0.02%,-2.53%,-4.77%,-5.99%,1.10%,-14.30%,1.10%,38.75,0.51%,-0.84%,-,64.80K,1.15,11.93,-0.33%,"74,149",-
128,AFG,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,8.98B,14.77,11.78,1.20,1.25,1.76,4.96,5.97,1.59%,22.70%,6.81,-15.30%,-0.43%,4.10%,12.30%,7.00%,43.40%,10.70%,89.31M,73.31M,0.60%,-51.49%,65.30%,-0.09%,1.29%,3.17,0.90%,10.10%,9.70%,-,-,0.26,0.26,-,11.20%,7.40%,0.72%,-9.03%,-10.87%,-7.35%,1.99%,-6.13%,0.84,2.35,2.75%,2.39%,-3.01%,-7.37%,-8.69%,-12.32%,2.34%,-16.27%,2.79%,38.13,0.49%,0.00%,2.20,297.41K,1.24,100.52,0.49%,"368,064",Oct 30/a
129,AFGE,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,2.27B,4.32,-,-,0.33,0.45,-,-,-,-,5.89,-,-,-,-,-,44.80%,11.50%,89.07M,67.80M,-,-,-,-,0.00%,0.16,-,-,-,-,-,-,-,-,-,-,0.83%,0.40%,-1.05%,-0.63%,-3.16%,-2.94%,-,0.17,0.66%,0.60%,0.96%,-0.50%,-1.21%,-3.33%,2.08%,-4.61%,2.08%,54.25,0.23%,0.08%,-,7.09K,1.07,25.45,0.31%,"7,563",-
130,AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,USA,119.58M,-,5.21,-,0.52,1.22,2.27,-,-,-,-2.27,156.80%,3.18%,-59.70%,-,39.00%,3.10%,1.80%,12.19M,9.98M,0.50%,24.51%,81.10%,0.87%,1.83%,4.41,-7.90%,-36.00%,-23.10%,-,-,0.25,0.25,-,-19.20%,-16.50%,3.26%,-2.49%,16.79%,-12.41%,-50.70%,-52.26%,1.03,0.34,4.89%,3.80%,2.87%,-1.99%,-15.19%,-11.78%,9.16%,-54.37%,21.86%,53.27,2.19%,-0.10%,2.50,41.45K,0.17,9.81,2.08%,"7,111",Nov 05/a
131,AFI,"Armstrong Flooring, Inc.",Industrial Goods,General Building Materials,USA,443.65M,-,22.51,-,0.39,0.75,15.57,11.58,-,-,-1.46,-666.10%,65.34%,-,47.60%,-1.30%,109.30%,2.90%,27.92M,25.58M,0.90%,0.00%,96.80%,-0.82%,3.10%,5.09,-4.40%,-7.10%,-6.00%,2.40,0.90,0.13,0.13,14.80%,-3.70%,-3.50%,-0.56%,-11.53%,24.73%,24.43%,9.81%,-6.09%,-,0.71,6.14%,4.28%,-4.10%,-9.77%,5.68%,-22.34%,9.49%,-22.34%,32.09%,43.81,1.53%,0.64%,3.00,155.64K,0.77,15.89,2.19%,"120,570",Nov 05/b
132,AFIN,"American Finance Trust, Inc.",Financial,REIT - Diversified,USA,709.59M,-,-,-,2.50,0.42,-,-,8.31%,-,-0.61,-,-175.00%,-,-,-,-,-0.70%,53.59M,53.38M,-,-,0.12%,-,0.55%,0.79,-,-,-,-,-,-,-,-,-,-,-4.40%,-12.08%,-10.54%,-,-,-11.73%,-,0.57,3.83%,4.10%,-6.36%,-13.99%,-13.58%,-28.43%,0.68%,-28.43%,0.68%,29.55,-1.56%,0.60%,3.00,372.43K,0.42,13.24,-0.97%,"157,600",Nov 06/b
133,AFK,VanEck Vectors Africa ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.21,-,-,-,-,-,-,-,-,-,-,2.72%,-2.35%,-11.14%,-17.49%,-12.77%,-16.49%,-,0.46,1.58%,2.04%,1.10%,-1.87%,-13.03%,-9.74%,4.48%,-24.21%,4.48%,52.61,2.17%,1.14%,-,7.64K,1.13,20.76,3.33%,"8,527",-
134,AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,33.30B,10.95,10.31,1.37,1.51,1.39,8.66,6.77,2.43%,26.10%,3.92,4.20%,1.99%,1.90%,8.00%,-3.80%,19.80%,2.90%,776.82M,755.49M,0.10%,-8.26%,70.90%,-0.10%,1.65%,4.19,3.40%,20.00%,9.70%,-,-,0.22,0.22,-,19.60%,21.40%,1.61%,-8.53%,-7.98%,-4.33%,1.72%,-2.32%,0.96,0.88,1.76%,2.21%,-3.39%,-6.69%,-4.71%,-11.03%,3.44%,-11.03%,3.53%,36.39,-0.33%,-0.14%,2.80,2.97M,1.09,42.87,-0.46%,"3,257,371",Oct 24/a
135,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,232.21M,-,-,-,116.10,4.26,-,-,-,-,-0.68,28.90%,40.00%,-1.40%,-,11.40%,27.80%,-60.00%,62.59M,51.97M,5.78%,0.00%,42.90%,4.36%,3.84%,0.89,-57.30%,-73.70%,-70.40%,5.40,5.30,0.06,0.13,-,-,-,24.50%,-14.52%,124.85%,80.98%,83.21%,185.38%,3.63,0.34,10.88%,8.86%,9.64%,-6.22%,50.16%,-49.52%,139.35%,-49.52%,222.61%,52.08,14.15%,3.17%,1.60,2.24M,1.26,3.71,17.78%,"2,779,559",Nov 06/b
136,AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance,USA,2.85B,108.27,-,10.83,0.49,1.08,4.26,-,4.72%,130.80%,0.13,-226.10%,-,-33.50%,10.00%,29.00%,-,-13.20%,197.71M,90.44M,0.20%,-2.45%,42.70%,0.60%,8.14%,16.15,0.40%,3.90%,-6.40%,-,-,0.56,0.56,-,3.40%,1.70%,0.91%,0.14%,-0.89%,10.43%,14.83%,43.00%,1.13,0.16,0.81%,1.16%,0.51%,-0.35%,4.87%,-1.84%,4.42%,-2.34%,63.64%,52.17,0.21%,0.21%,3.00,455.91K,0.58,14.40,0.42%,"271,386",Nov 07/a
137,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-0.78%,-5.11%,-5.17%,-9.07%,-8.19%,-6.10%,-,0.12,0.55%,0.84%,-2.12%,-4.06%,-6.71%,-6.56%,0.40%,-18.51%,0.40%,28.06,0.20%,-0.07%,3.00,71.49K,1.18,15.23,0.13%,"83,778",-
138,AFTY,CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,7.46%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.67,-,-,-,-,-,-,-,-,-,-,1.22%,-1.46%,3.13%,-11.11%,-16.78%,-15.48%,-,0.36,1.56%,1.39%,3.51%,1.80%,-9.72%,-4.19%,8.34%,-27.45%,8.34%,55.36,2.55%,1.44%,-,6.76K,2.03,14.88,4.02%,"13,565",-
139,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,1.12B,-,96.67,-,4.30,1.50,-,-,-,-,-0.61,-100.00%,-,-31.03%,46.80%,-,-,32.60%,193.57M,168.56M,-,-,-,-,16.34%,10.02,-,-,-,-,-,-,-,-,-,-,1.75%,2.11%,-11.85%,-15.33%,-15.45%,-13.95%,-,0.28,4.17%,4.87%,-2.55%,1.42%,-8.83%,-10.77%,14.85%,-31.60%,17.65%,49.72,1.40%,3.06%,2.30,2.75M,1.03,5.80,4.50%,"2,829,646",Nov 01
140,AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,USA,4.49B,17.55,12.07,0.83,0.50,1.55,15.99,23.34,1.05%,20.90%,3.27,45.30%,25.94%,-11.70%,21.10%,-3.60%,-0.20%,17.20%,78.18M,65.84M,1.30%,-0.46%,89.70%,0.24%,7.62%,6.90,2.70%,7.30%,6.60%,1.40,0.60,0.59,0.66,21.50%,5.10%,2.40%,13.42%,-7.23%,-8.25%,-4.65%,-17.34%,-19.66%,0.92,2.03,4.95%,3.45%,3.50%,-1.74%,-8.89%,-8.80%,15.94%,-24.44%,15.94%,54.93,2.10%,0.30%,2.90,727.35K,1.45,57.39,2.41%,"1,047,762",Oct 30/b
